GHO (DISPLAY),YEAR (DISPLAY),COUNTRY (DISPLAY),DIMENSION (NAME),Value,Numeric,Low,High
Prevalence of anaemia in women of reproductive age (aged 15-49) (%),2004,Ghana,Female,53.0 [46.1-60.7],53.0,46.1,60.7
Prevalence of anaemia in women of reproductive age (aged 15-49) (%),2002,Ghana,Female,53.6 [46.2-61.7],53.6,46.2,61.7
Antenatal care coverage - at least four visits (%),1998,Ghana,,62.3,62.3,,
Prevalence of anaemia in women of reproductive age (aged 15-49) (%),2023,Ghana,Female,35.3 [26.3-45.0],35.3,26.3,45.0
Number of women of reproductive age (aged 15-49 years) with anaemia (thousands),2015,Ghana,Female,2820.6 [2298.8-3353.1],2820.6,2298.8,3353.1
Prevalence of anaemia in women of reproductive age (aged 15-49) (%),2018,Ghana,Female,36.6 [29.5-44.4],36.6,29.5,44.4
Prevalence of anaemia in women of reproductive age (aged 15-49) (%),2015,Ghana,Female,39.1 [31.9-46.5],39.1,31.9,46.5
Number of women of reproductive age (aged 15-49 years) with anaemia (thousands),2001,Ghana,Female,2289.8 [1818.2-2821.4],2289.8,1818.2,2821.4
Number of women of reproductive age (aged 15-49 years) with anaemia (thousands),2014,Ghana,Female,265.3 [232.2-302.6],265.3,232.2,302.6
Adolescent birth rate (per 1000 women),2017,Ghana,Female,0.9,0.864289761,,
Births attended by skilled health personnel (%),2003,Ghana,,47,47.0,,
Adolescent birth rate (per 1000 women),2010,Ghana,Female,4.3,4.260137081,,
Number of women of reproductive age (aged 15-49 years) with anaemia (thousands),2006,Ghana,Female,257.5 [222.3-294.8],257.5,222.3,294.8
Prevalence of anaemia in women of reproductive age (aged 15-49) (%),2007,Ghana,Female,44.5 [35.4-54.3],44.5,35.4,54.3
Adolescent birth rate (per 1000 women),2015,Ghana,Female,76.4,76.41703033,,
Antenatal care coverage - at least four visits (%),1993,Ghana,,58.9,58.9,,
Number of women of reproductive age (aged 15-49 years) with anaemia (thousands),2022,Ghana,Female,2782.8 [2126.3-3483.9],2782.8,2126.3,3483.9
Prevalence of anaemia in women of reproductive age (aged 15-49) (%),2009,Ghana,Female,50.5 [43.4-58.2],50.5,43.4,58.2
Number of women of reproductive age (aged 15-49 years) with anaemia (thousands),2007,Ghana,Female,2679.7 [2164.0-3232.6],2679.7,2164.0,3232.6
Number of women of reproductive age (aged 15-49 years) with anaemia (thousands),2005,Ghana,Female,2308.6 [1843.0-2823.6],2308.6,1843.0,2823.6
Prevalence of anaemia in women of reproductive age (aged 15-49) (%),2010,Ghana,Female,42.9 [34.3-51.6],42.9,34.3,51.6
Adolescent birth rate (per 1000 women),2004,Ghana,Female,80.4,80.37306976,,
Births attended by skilled health personnel (%),2014,Ghana,,71,71.0,,
Number of women of reproductive age (aged 15-49 years) with anaemia (thousands),2017,Ghana,Female,2854.1 [2339.0-3405.3],2854.1,2339.0,3405.3
Adolescent birth rate (per 1000 women),2006,Ghana,Female,84.1,84.10835266,,
Adolescent birth rate (per 1000 women),2007,Ghana,Female,3.7,3.669129133,,
Adolescent birth rate (per 1000 women),2011,Ghana,Female,60.0,60.0,,
Prevalence of anaemia in women of reproductive age (aged 15-49) (%),2000,Ghana,Female,47.1 [36.4-58.8],47.1,36.4,58.8
Number of women of reproductive age (aged 15-49 years) with anaemia (thousands),2003,Ghana,Female,2178.5 [1731.9-2682.8],2178.5,1731.9,2682.8
Adolescent birth rate (per 1000 women),2017,Ghana,Female,73.8,73.83238983,,
Number of women of reproductive age (aged 15-49 years) with anaemia (thousands),2008,Ghana,Female,2721.4 [2193.4-3276.2],2721.4,2193.4,3276.2
Number of women of reproductive age (aged 15-49 years) with anaemia (thousands),2016,Ghana,Female,2576.2 [2075.5-3108.2],2576.2,2075.5,3108.2
Adolescent birth rate (per 1000 women),2015,Ghana,Female,1.9,1.907738566,,
Prevalence of anaemia in women of reproductive age (aged 15-49) (%),2023,Ghana,Female,45.3 [37.6-53.3],45.3,37.6,53.3
Number of women of reproductive age (aged 15-49 years) with anaemia (thousands),2005,Ghana,Female,2565.5 [2085.7-3098.3],2565.5,2085.7,3098.3
Number of women of reproductive age (aged 15-49 years) with anaemia (thousands),2017,Ghana,Female,253.2 [223.4-287.8],253.2,223.4,287.8
Prevalence of anaemia in women of reproductive age (aged 15-49) (%),2019,Ghana,Female,36.8 [29.8-44.4],36.8,29.8,44.4
Number of women of reproductive age (aged 15-49 years) with anaemia (thousands),2020,Ghana,Female,2933.4 [2353.3-3556.1],2933.4,2353.3,3556.1
Prevalence of anaemia in women of reproductive age (aged 15-49) (%),2003,Ghana,Female,53.3 [46.2-61.1],53.3,46.2,61.1
Adolescent birth rate (per 1000 women),2021,Ghana,Female,63.0,63.0,,
Prevalence of anaemia in women of reproductive age (aged 15-49) (%),2015,Ghana,Female,38.4 [30.8-46.4],38.4,30.8,46.4
Antenatal care coverage - at least four visits (%),2017,Ghana,,89.3,89.3,,
Number of women of reproductive age (aged 15-49 years) with anaemia (thousands),2008,Ghana,Female,2464.6 [1952.8-3004.8],2464.6,1952.8,3004.8
Prevalence of anaemia in women of reproductive age (aged 15-49) (%),2021,Ghana,Female,36.1 [28.6-44.2],36.1,28.6,44.2
Number of women of reproductive age (aged 15-49 years) with anaemia (thousands),2006,Ghana,Female,2368.9 [1888.9-2890.9],2368.9,1888.9,2890.9
Adolescent birth rate (per 1000 women),2013,Ghana,Female,2.4,2.366592646,,
Proportion of births delivered in a health facility (Facility births) (%),2008,Ghana,,57.1,57.1,,
Adolescent birth rate (per 1000 women),2018,Ghana,Female,78.0,78.01785278,,
Prevalence of anaemia in women of reproductive age (aged 15-49) (%),2013,Ghana,Female,39.9 [31.8-48.2],39.9,31.8,48.2
Proportion of births delivered in a health facility (Facility births) (%),2007,Ghana,,54.3,54.3,,
Prevalence of anaemia in women of reproductive age (aged 15-49) (%),2001,Ghana,Female,46.8 [37.2-57.7],46.8,37.2,57.7
Prevalence of anaemia in women of reproductive age (aged 15-49) (%),2008,Ghana,Female,44.5 [35.8-53.5],44.5,35.8,53.5
Prevalence of anaemia in women of reproductive age (aged 15-49) (%),2012,Ghana,Female,48.6 [42.1-55.7],48.6,42.1,55.7
Prevalence of anaemia in women of reproductive age (aged 15-49) (%),2016,Ghana,Female,46.7 [41.1-53.1],46.7,41.1,53.1
Prevalence of anaemia in women of reproductive age (aged 15-49) (%),2017,Ghana,Female,37.8 [31.0-45.1],37.8,31.0,45.1
Number of women of reproductive age (aged 15-49 years) with anaemia (thousands),2019,Ghana,Female,2649.3 [2120.2-3233.7],2649.3,2120.2,3233.7
Prevalence of anaemia in women of reproductive age (aged 15-49) (%),2022,Ghana,Female,36.0 [27.9-44.5],36.0,27.9,44.5
Prevalence of anaemia in women of reproductive age (aged 15-49) (%),2017,Ghana,Female,37.1 [30.0-44.9],37.1,30.0,44.9
Prevalence of anaemia in women of reproductive age (aged 15-49) (%),2016,Ghana,Female,38.4 [31.4-45.8],38.4,31.4,45.8
Number of women of reproductive age (aged 15-49 years) with anaemia (thousands),2013,Ghana,Female,2530.6 [2015.5-3057.3],2530.6,2015.5,3057.3
Number of women of reproductive age (aged 15-49 years) with anaemia (thousands),2020,Ghana,Female,2683.5 [2117.4-3295.3],2683.5,2117.4,3295.3
Number of women of reproductive age (aged 15-49 years) with anaemia (thousands),2021,Ghana,Female,250.0 [215.3-287.2],250.0,215.3,287.2
Prevalence of anaemia in women of reproductive age (aged 15-49) (%),2006,Ghana,Female,45.5 [36.9-54.8],45.5,36.9,54.8
Number of women of reproductive age (aged 15-49 years) with anaemia (thousands),2000,Ghana,Female,2227.5 [1723.0-2780.3],2227.5,1723.0,2780.3
Antenatal care coverage - at least four visits (%),2022,Ghana,,87.8,87.8,,
Number of women of reproductive age (aged 15-49 years) with anaemia (thousands),2005,Ghana,Female,256.9 [222.6-294.0],256.9,222.6,294.0
Number of women of reproductive age (aged 15-49 years) with anaemia (thousands),2009,Ghana,Female,2492.6 [1967.0-3044.3],2492.6,1967.0,3044.3
Adolescent birth rate (per 1000 women),2005,Ghana,Female,80.1,80.14549255,,
Number of women of reproductive age (aged 15-49 years) with anaemia (thousands),2007,Ghana,Female,2423.1 [1927.2-2959.9],2423.1,1927.2,2959.9
Antenatal care coverage - at least four visits (%),2018,Ghana,,85,85.0,,
Proportion of births delivered in a health facility (Facility births) (%),2003,Ghana,,45.7,45.7,,
Number of women of reproductive age (aged 15-49 years) with anaemia (thousands),2022,Ghana,Female,3033.7 [2353.9-3749.1],3033.7,2353.9,3749.1
Adolescent birth rate (per 1000 women),2016,Ghana,Female,75.1,75.05596924,,
Number of women of reproductive age (aged 15-49 years) with anaemia (thousands),2021,Ghana,Female,2978.7 [2362.5-3647.5],2978.7,2362.5,3647.5
Prevalence of anaemia in women of reproductive age (aged 15-49) (%),2010,Ghana,Female,42.3 [33.3-51.7],42.3,33.3,51.7
Number of women of reproductive age (aged 15-49 years) with anaemia (thousands),2011,Ghana,Female,2515.7 [1987.1-3056.7],2515.7,1987.1,3056.7
